Name,Price_After_disc,Price_Before_disc,Product_disc,Product_evaluate,Product_link,Category
JOYROOM S-1224N2 Original High Quality Liquid Silicone Type C Cable - 1.2M - Black,84,155,46,1,https://www.jumia.com.eg/ar/s-1224n2-original-high-quality-liquid-silicone-type-c-cable-1.2m-black-joyroom-mpg811788.html,phones-tablets
22 Mm Silicone Leather Watch Band For Huawei Watch GT Twai Pro 46( Brown,198,250,21,nan,https://www.jumia.com.eg/ar/generic-22-mm-silicone-leather-watch-band-for-huawei-watch-gt-twai-pro-46-brown-21406244.html,phones-tablets
اطار معدني لساعة سامسونج جالاكسي جير اس 3 فرونتير 46 ملم اسود,92,150,39,5,https://www.jumia.com.eg/ar/metal-bezel-for-samsung-galaxy-gear-s3-frontier-46-mm-black-generic-mpg823049.html,phones-tablets
Armor لاصقة نانو زجاجية ضد الصدمات لموبايل Samsung Galaxy M62,129,nan,nan,nan,https://www.jumia.com.eg/ar/armor-nano-glass-screen-protector-for-samsung-galaxy-m62-21380980.html,phones-tablets
Mobile Phone and Tablet Sling Grip,59,100,41,4,https://www.jumia.com.eg/ar/mobile-phone-and-tablet-sling-grip-generic-mpg27742.html,phones-tablets
غطاء جراب مضاد للصدمات من مادة EVA Foam Grip لهاتف Apple iPad 10.2 (الجيل الثامن) (2020) 10.2 بوصة - وردي داكن,500,nan,nan,nan,https://www.jumia.com.eg/ar/generic-shockproof-kids-handle-eva-foam-case-cover-for-apple-ipad-10.2-8th-generation-2020-10.2-inch-hot-pink-21874526.html,phones-tablets
Armor شاشة لامعة من ارمور باك حماية كاملة مع تأثير الالوان لـموبايل Oppo F11 pro,99,nan,nan,nan,https://www.jumia.com.eg/ar/armor-back-shiny-screen-full-protection-with-colors-effect-for-oppo-f11-pro-22540967.html,phones-tablets
Konfulon Edge 10000mAh Power Bank,269,nan,nan,nan,https://www.jumia.com.eg/ar/konfulon-edge-10000mah-power-bank-3747733.html,phones-tablets
غطاء جراب مضاد للصدمات من مادة EVA Foam Grip لهاتف Apple iPad 10.2 (الجيل الثامن) (2020) 10.2 بوصة - ازرق,500,nan,nan,nan,https://www.jumia.com.eg/ar/shockproof-kids-handle-eva-foam-case-cover-for-apple-ipad-10.2-8th-generation-2020-10.2-inch-blue-generic-mpg829236.html,phones-tablets
Shockproof Kids Handle EVA Foam Case Cover For Apple iPad Air 3 10.5 - Purple,500,nan,nan,nan,https://www.jumia.com.eg/ar/generic-shockproof-kids-handle-eva-foam-case-cover-for-apple-ipad-air-3-10.5-purple-22557508.html,phones-tablets
Gamesir Black Falcon Model F4 Trigger Mobile Gaming Grip,450,nan,nan,nan,https://www.jumia.com.eg/ar/black-falcon-model-f4-trigger-mobile-gaming-grip-gamesir-mpg770100.html,phones-tablets
Armor Nano Glass Screen Protector For Realme 7,79,nan,nan,nan,https://www.jumia.com.eg/ar/armor-nano-glass-screen-protector-for-realme-7-20242225.html,phones-tablets
Armor لاصقة حماية4 في 1 تتميز بشاشة نانو موبايل Xiaomi Mi 11,139,nan,nan,nan,https://www.jumia.com.eg/ar/armor-screen-with-4in1-features-nano-material-for-xiaomi-mi-11-22338681.html,phones-tablets
حزام ساعة أبل 44 مم من الجلد الفئة 6 - بني,193,300,36,nan,https://www.jumia.com.eg/ar/leather-apple-watch-band-44-mm-ser-6-brown-generic-mpg786204.html,phones-tablets
Armor Glass Back Cover For Xiaomi Mi 8 SE - Pink,99,nan,nan,nan,https://www.jumia.com.eg/ar/armor-glass-back-cover-for-xiaomi-mi-8-se-pink-15906758.html,phones-tablets
Shockproof Kids Handle EVA Foam Case Cover For Apple iPad Air - Red,500,nan,nan,nan,https://www.jumia.com.eg/ar/generic-shockproof-kids-handle-eva-foam-case-cover-for-apple-ipad-air-red-22557494.html,phones-tablets
Shockproof Kids Handle EVA Foam Case Cover For Samsung Tab A 2019 (T510 - T515) - Purple,500,nan,nan,nan,https://www.jumia.com.eg/ar/generic-shockproof-kids-handle-eva-foam-case-cover-for-samsung-tab-a-2019-t510-t515-purple-22557545.html,phones-tablets
Shockproof Kids Handle EVA Foam Case Cover For Samsung Galaxy Tab A7 2020 (T500 - T505 ) - Black,500,nan,nan,nan,https://www.jumia.com.eg/ar/generic-shockproof-kids-handle-eva-foam-case-cover-for-samsung-galaxy-tab-a7-2020-t500-t505-black-22628897.html,phones-tablets
غطاء جراب مضاد للصدمات من مادة EVA Foam Grip لهاتف Apple iPad 10.2 (الجيل الثامن) (2020) 10.2 بوصة - اسود,500,nan,nan,nan,https://www.jumia.com.eg/ar/shockproof-kids-handle-eva-foam-case-cover-for-apple-ipad-10.2-8th-generation-2020-10.2-inch-black-generic-mpg829235.html,phones-tablets
